215496177 ;        5784;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104241;200.83.215.99  ;OK ;597032110312        ;Medio 2: Por redireccion                                                
215496177 ;        5784;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104241;200.83.215.99  ;OK ;597032110312        ;Redireccion web                                                         
215496177 ;        5784;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104241;200.83.215.99  ;OK ;597032110312        ;Todo OK                                                                 
          ;        6356;   ;Filtro    ;Inicio                                  ;19122016      ;104327;200.83.215.99  ;OK ;                    ;Inicio de filtrado                                                      
          ;        6356;   ;Filtro    ;tbk_param.txt                           ;19122016      ;104327;200.83.215.99  ;OK ;                    ;Archivo parseado                                                        
          ;        6356;   ;Filtro    ;Terminado                               ;19122016      ;104327;200.83.215.99  ;OK ;                    ;Datos Filtrados con exito                                               
215500786 ;        6356;   ;pago      ;inicio                                  ;19122016      ;104327;200.83.215.99  ;OK ;597032110312        ;Parseo realizado                                                        
215500786 ;        6356;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104327;200.83.215.99  ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
215500786 ;        6356;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104327;200.83.215.99  ;OK ;597032110312        ;Mac generado                                                            
215500786 ;        6356;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104327;200.83.215.99  ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
215500786 ;        6356;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104328;200.83.215.99  ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
215500786 ;        6356;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104328;200.83.215.99  ;OK ;597032110312        ;Datos listos para ser enviados                                          
215500786 ;        6356;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104328;200.83.215.99  ;OK ;597032110312        ;Medio 2: Por redireccion                                                
215500786 ;        6356;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104328;200.83.215.99  ;OK ;597032110312        ;Redireccion web                                                         
215500786 ;        6356;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104328;200.83.215.99  ;OK ;597032110312        ;Todo OK                                                                 
          ;        6984;   ;resultado ;Desencriptando                          ;19122016      ;104644;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        6984;   ;resultado ;Validacion                              ;19122016      ;104644;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        6984;   ;resultado ;187                                     ;19122016      ;104644;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;        6984;   ;resultado ;187                                     ;19122016      ;104644;200.10.14.177  ;OK ;                    ;http://190.98.201.83/Webpay/Xt_Cierre                                   
215500786 ;        6984;   ;transacc  ;215500786                               ;19122016      ;104644;200.10.14.177  ;OK ;597032110312        ;conectandose al port :(80)                                              
215500786 ;        6984;   ;resultado ;logro abrir_conexion                    ;19122016      ;104644;200.10.14.177  ; 0 ;597032110312        ;Abrio socket para conex-com                                             
215500786 ;        6984;   ;transacc  ;215500786                               ;19122016      ;104644;200.10.14.177  ;OK ;597032110312        ;POST a url http://190.98.201.83/Webpay/Xt_Cierre                        
215500786 ;        6984;   ;transacc  ;215500786                               ;19122016      ;104644;200.10.14.177  ;OK ;597032110312        ;mensaje enviado                                                         
          ;        6984;   ;resultado ;187                                     ;19122016      ;104644;200.10.14.177  ;OK ;                    ;tienda NO acepto transaccion                                            
          ;        6984;   ;resultado ;187                                     ;19122016      ;104644;200.10.14.177  ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
215500786 ;        6984;   ;resultado ;datoscom                                ;19122016      ;104644;200.10.14.177  ;Ok ;597032110312        ;Error al obtener ack (46)                                               
          ;        6984;   ;resultado ;187                                     ;19122016      ;104644;200.10.14.177  ;ERR;                    ;46                                                                      
          ;        4556;   ;Filtro    ;Inicio                                  ;19122016      ;104907;200.83.215.99  ;OK ;                    ;Inicio de filtrado                                                      
          ;        4556;   ;Filtro    ;tbk_param.txt                           ;19122016      ;104907;200.83.215.99  ;OK ;                    ;Archivo parseado                                                        
